"district_code","person_count","year"
3505,"166547",2007
3202,"86056",2011
3510,"119498",2017
3802,"210638",2000
3303,"92222",2012
3202,"82941",2008
3402,"95203",2007
3508,"113857",2014
3304,"72224",2013
3703,"195644",2007
3401,"54391",2021
3505,"170702",2011
3808,"133023",2011
3203,"163108",2016
3605,"111130",2014
3509,"128851",2014
3604,"78852",2007
3501,"102975",2016
3212,"55407",2017
3212,"55737",2020
3802,"211070",2008
3705,"191767",2020
3508,"113371",2015
3308,"102310",2017
3602,"163011",2009
3801,"98148",2007
3709,"109439",2003
3810,"147374",2000
3505,"163456",2005
3306,"51081",2011
3701,"104029",2001
3202,"76773",2003
3406,"68449",2012
3609,"104586",2006
3306,"50800",2014
3714,"119691",2007
3811,"39261",2015
3201,"98708",2018
3802,"209198",2002
3706,"154589",2016
3201,"90726",2002
3208,"99734",2018
3609,"105112",2011
3210,"142910",2017
3801,"98543",2005
3604,"80165",2010
3601,"95833",2009
3307,"69644",2001
3502,"133609",2000
3602,"162651",2013
3806,"176653",2005
3209,"117107",2005
3605,"112302",2006
3602,"160412",2006
3706,"159651",2001
3302,"61187",2017
3305,"70673",2010
3711,"144387",2009
3206,"95404",2004
3508,"118810",2000
3407,"80671",2020
3807,"336811",2007
3809,"119974",2022
3713,"113673",2009
3409,"92903",2009
3709,"109346",2012
3712,"89097",2010
3202,"75483",2000
3303,"90653",2018
3206,"104151",2013
3713,"113432",2012
3709,"108504",2020
3203,"164051",2017
3704,"113606",2009
3714,"118094",2018
3611,"138036",2000
3713,"114104",2018
3707,"112415",2021
3505,"172681",2015
3207,"133876",2022
3212,"55565",2018
3212,"56058",2022
3709,"109979",2007
3404,"87443",2004
3304,"72277",2004
3407,"74694",2009
3403,"117016",2014
3201,"90036",2000
3810,"145718",2002
9999,"1335084",2020
3509,"128734",2015
3704,"113739",2001
3608,"72861",2013
3810,"144659",2010
3506,"118040",2009
3603,"104439",2009
3407,"77022",2014
3710,"113812",2009
3308,"102768",2011
3706,"152119",2022
3706,"155742",2013
3203,"155314",2007
3307,"70765",2011
3402,"91434",2020
3201,"99742",2020
3707,"110876",2006
3507,"86486",2018
3308,"102683",2012
3805,"231339",2008
3706,"154160",2018
3405,"177897",2004
3507,"86463",2014
3308,"102333",2003
